spread_id,technical,style,notes
s-088-006,5,2,"Content page adequate fill for single long-form article but zero visual variety — pure gray wall. Facing page }{-bugged blank."
s-085-011,6,4,"Dense two-page multi-article spread with consistent two-column typography. Both pages text-heavy with similar density — no visual dialogue between pages."
s-027-010,5,2,"Single opinion article with clean fill and spacing. No visual variety. Facing page }{-bugged."
s-040-018,5,2,"Single BMJ article with dense text. Adequate fill but pure gray wall. Facing page }{-bugged."
s-039-006,6,3,"Tech article with section headers providing structural variety. Good fill. Facing page }{-bugged."
s-055-003,5,2,"Single AI predictions article. Dense text wall with no compositional elements. Facing page }{-bugged."
s-084-007,6,4,"Dense two-page multi-article tech spread. Consistent typography. Multiple headlines break flow. Both pages mirror density."
s-010-009,6,3,"Recipe article with clear sections creating micro-rhythm. Good fill. Facing page }{-bugged."
s-072-023,5,3,"Terminal/solo page with IN BRIEF items and masthead. Appropriate sparse fill for closing page."
s-078-002,4,1,"Raw data listing page (Norwegian real estate searches with page views). No editorial design — database output dumped to page. Facing page }{-bugged."
s-015-018,6,4,"MongoDB customer success article in two-column layout with clear section headers creating rhythm. Good fill. Facing page }{-bugged."
s-024-021,6,3,"Dense two-column tech articles across spread. Code snippets provide minimal texture. Both pages interchangeable."
s-072-022,6,4,"Two-column security and Go package articles. Good fill. Structural elements within articles add mild variety."
s-048-025,5,3,"Left page dense tech content. Right page underfilled ~50% with podcast content and }{ artifacts inline. Unbalanced spread."
s-085-003,3,2,"Right page severely underfilled — FRONT PAGE label on interior page with }{ inline artifacts and ~30% fill. Broken page structure."
s-031-016,5,2,"Single consulting article. Dense text gray wall. Good fill but no visual variety. Facing page }{-bugged."
s-074-004,7,5,"Bihar map IMAGE creates strong visual anchor with good text-image ratio. Best single content page in batch. Facing page }{-bugged."
s-064-012,6,3,"Dense two-column tech articles across spread. Consistent layout. Both pages identical density with no compositional dialogue."
s-057-011,5,3,"Slow LM tech article with structural elements and engaging headline. Single column. Facing page }{-bugged."
s-086-019,6,3,"Mypy-to-ty tutorial with code blocks providing visual texture. Good fill. Facing page }{-bugged."
s-041-014,5,2,"Single news article about prediction markets. Dense gray wall. Facing page }{-bugged."
s-037-007,3,2,"Left page adequate text article. Right page is pull quote + }{ + dead space (~85% empty). Extreme spread imbalance."
s-006-006,6,4,"Remacs article with section headers and feature lists creating rhythm. Good fill. Facing page }{-bugged."
s-100-015,4,3,"Terminal/solo page ~40% fill. }{ inline artifacts visible. Masthead creates closing element but mostly dead space."
s-073-005,6,2,"Kamal deployment article. Dense single column gray wall despite good fill. Facing page }{-bugged."
s-049-001,5,4,"Front page with masthead and LINQ cover story. Code snippets add texture. { artifact visible. ~65% fill."
s-079-011,3,3,"Left page dense walk-and-talk article. Right page is pull quote + }{ + dead space (~90% empty). Extreme spread imbalance."
s-051-031,7,4,"Two-column finance article with excellent fill ~90% and well-balanced columns. Facing page }{-bugged."
s-010-008,6,3,"Two-column financial BILT article. Good fill and consistent spacing. Facing page }{-bugged."
s-021-016,6,3,"Two-column film history article. Good fill and consistent spacing. Facing page }{-bugged."
s-051-010,6,4,"Consistent two-column Google search article across spread. Good fill on both pages. Unified content flow."
s-026-001,6,5,"Front page with bold Morning Globe masthead. Two-column cover story about concrete. Newspaper feel."
s-020-016,7,4,"Excellent two-column AI security article. Very good fill ~90% with balanced columns. Facing page }{-bugged."
s-072-010,6,3,"IE update policy article with data table element adding visual variety. Two columns. Facing page }{-bugged."
s-064-006,5,2,"Merb framework article. Single column dense text gray wall. Facing page }{-bugged."
s-037-016,3,2,"Left page good two-column JavaScript article. Right page pull quote + }{ + dead space. Broken spread."
s-068-012,7,5,"Excellent two-column HBR articles across spread. Multiple headlines create editorial rhythm. Best spread in batch."
s-065-010,5,3,"Civil War Christmas article with class='' HTML artifacts visible in rendered text. Two columns. Facing page }{-bugged."
s-086-003,6,5,"Q&A interview format creates natural rhythm from speaker changes. Both pages unified. Good pacing across spread."
s-078-007,7,4,"Excellent two-column spread. React long-form article vs. multiple tech briefs creates mild compositional contrast."
s-087-011,4,1,"Repeated NPR Throughline podcast descriptions with [] bracket artifacts. Monotonous content — sausage machine layout."
s-041-001,7,6,"Strong front page. Clear Courier masthead with full-width headline. Two-column body creates newspaper feel."
s-099-004,4,2,"Left page well-filled with multiple articles. Right page ~25% fill with { artifact and empty BRIEFS section. Broken spread."
s-069-011,6,3,"AWS RedShift article with code/data elements providing visual texture. Two columns. Facing page }{-bugged."
s-071-005,5,3,"Java 9 modules tutorial. Bullet points and section headers create structural variety. Facing page }{-bugged."
s-083-012,5,2,"Single financial article about inflation and consumer pain. Dense gray wall. Facing page }{-bugged."
s-051-012,6,4,"Two-column Google advertising article flowing across spread. Consistent treatment. Good fill on both pages."
s-020-019,7,6,"Best spread in batch. Pull quote anchors left page. Multiple article types across spread. Two-column editorial variety."
s-012-002,6,3,"Two-column biomedical article about organ transplantation. Good fill. Facing page }{-bugged."
s-030-006,6,5,"Two-column spread with mixed content types — podcasts books photography entertainment. Editorial variety."
